row_type,model,arm,feature,metric,first_window,n_runs,alternative,n_authors,estimate,ci_low,ci_high,wilcoxon_p,window_index
delta,flash,c1_pooled,f3,target_margin,1,400,less,20,-0.08079004677617636,-0.12660266637035966,-0.04076853593600707,0.00019741058349609375,
delta,flash,c1_pooled,f3,target_rank,1,400,greater,20,1.3875,0.37493750000000003,2.583499999999995,0.015175339635253186,
delta,flash,c1_pooled,f3,target_hit,1,400,less,20,-0.045,-0.10250000000000001,0.010000000000000002,0.10365863000049708,
delta,pro,old,f1,target_kl,1,200,greater,20,0.08240433639033802,0.061001553278589804,0.10199608673293009,4.76837158203125e-06,
delta,pro,old,f1,target_margin,1,200,less,20,-0.04668344676401378,-0.06625924155951673,-0.02496154550804861,0.00024127960205078125,
delta,pro,old,f1,target_rank,1,200,greater,20,2.165,0.5098750000000001,3.7050000000000005,0.002695110237495812,
delta,pro,old,f1,target_hit,1,200,less,20,-0.03499999999999999,-0.1401249999999998,0.05512499999999933,0.26354462843276905,
delta,pro,old,f3,target_kl,1,200,greater,20,0.16811810631657453,0.12629769269567076,0.20951615422401199,1.9073486328125e-06,
delta,pro,old,f3,target_margin,1,200,less,20,-0.1163018373422026,-0.15928117383530607,-0.07284284126012727,5.245208740234375e-05,
delta,pro,old,f3,target_rank,1,200,greater,20,2.4200000000000004,0.76,3.9353749999999974,0.003207683341250075,
delta,pro,old,f3,target_hit,1,200,less,20,-0.07500000000000001,-0.18000000000000002,0.0049999999999999975,0.06341282918854552,
delta,pro,c2,f1,target_kl,1,200,greater,20,0.0103053677150624,0.0008537451870144974,0.0181556994502096,0.006808280944824219,
delta,pro,c2,f1,target_margin,1,200,less,20,-0.011101296997767886,-0.019741739996587893,-0.0005620128230926827,0.001827239990234375,
