model,arm,feature,term,coefficient,ci_low,ci_high,n_rows,n_authors,author_fixed_effects
flash,c2,f3,window_index,-0.008062750906805506,-0.017680228538833755,0.0007777793339641561,2000,20,True
flash,c2,f3,calls_elapsed,0.004614525832778795,0.0019213994381733412,0.007900390620795701,2000,20,True
flash,c2,f3,marks_since_boundary_k,0.01016730673581446,-0.0079259859005662,0.025826591037531762,2000,20,True
pro,c2,f3,window_index,-0.00706719209271782,-0.033786797382665566,0.019345079698342326,1000,20,True
pro,c2,f3,calls_elapsed,0.004000237977127902,-0.010511334668752129,0.01931696423247665,1000,20,True
pro,c2,f3,marks_since_boundary_k,0.02330787874449731,0.0004576380320627467,0.04621000188691134,1000,20,True
