contrast,family,model,feature,metric,quantity,left_arm,right_arm,n_left_runs,n_right_runs,left_mean,right_mean,alternative,n_authors,mean_difference,ci_low,ci_high,wilcoxon_p,benjamini_hochberg_p
c2_minus_c1_pooled,primary,flash,f1,target_kl,first_to_fifth_change,c2,c1_pooled,400,400,0.025956875844162498,0.052712376492919134,less,20,-0.02675550064875664,-0.05582354861391471,-0.0038204477546324427,0.048653602600097656,0.07883344387744434
c2_minus_c1_pooled,primary,flash,f1,target_margin,first_to_fifth_change,c2,c1_pooled,400,400,-0.012539341385476691,-0.04486250320138519,greater,20,0.0323231618159085,0.015488027066664788,0.050975894715860434,0.0004253387451171875,0.0011342366536458333
c2_minus_c1_pooled,primary,flash,f1,target_rank,first_to_fifth_change,c2,c1_pooled,400,400,0.6799999999999999,1.7349999999999999,less,20,-1.055,-2.0125624999999996,-0.22999999999999998,0.026690846897716745,0.05338169379543349
c2_minus_c1_pooled,primary,flash,f1,target_hit,first_to_fifth_change,c2,c1_pooled,400,400,-0.04,-0.032499999999999994,greater,20,-0.0075000000000000015,-0.0650624999999999,0.0425,0.36039108300771017,0.41187552343738304
c2_minus_c1_pooled,primary,flash,f3,target_kl,first_to_fifth_change,c2,c1_pooled,400,400,0.03785148882706287,0.09163413043190578,less,20,-0.0537826416048429,-0.1002485423132218,-0.014582843454324305,0.026584625244140625,0.05338169379543349
c2_minus_c1_pooled,primary,flash,f3,target_margin,first_to_fifth_change,c2,c1_pooled,400,400,-0.020747167037069542,-0.08079004677617636,greater,20,0.06004287973910681,0.026926509583987932,0.09571943513851386,0.00035381317138671875,0.0011322021484375
c2_minus_c1_pooled,primary,flash,f3,target_rank,first_to_fifth_change,c2,c1_pooled,400,400,0.8525,1.3875,less,20,-0.5349999999999999,-1.4,0.24756249999999966,0.17053175233762324,0.22737566978349766
c2_minus_c1_pooled,primary,flash,f3,target_hit,first_to_fifth_change,c2,c1_pooled,400,400,-0.032499999999999994,-0.045,greater,20,0.012499999999999994,-0.0475,0.0675,0.20004569184166526,0.24621008226666494
c2_minus_c1_pooled,primary,pro,f1,target_kl,first_to_fifth_change,c2,c1_pooled,200,200,0.0103053677150624,0.08240433639033802,less,20,-0.07209896867527561,-0.08975066558472426,-0.054191093390256934,1.9073486328125e-06,1.52587890625e-05
c2_minus_c1_pooled,primary,pro,f1,target_margin,first_to_fifth_change,c2,c1_pooled,200,200,-0.011101296997767886,-0.04668344676401378,greater,20,0.03558214976624589,0.019690006914134507,0.05218473977089193,0.00024127960205078125,0.000965118408203125
c2_minus_c1_pooled,primary,pro,f1,target_rank,first_to_fifth_change,c2,c1_pooled,200,200,0.8,2.165,less,20,-1.365,-2.8201249999999995,0.06012499999999926,0.05419799266574298,0.07883344387744434
c2_minus_c1_pooled,primary,pro,f1,target_hit,first_to_fifth_change,c2,c1_pooled,200,200,-0.075,-0.03499999999999999,greater,20,-0.040000000000000015,-0.15,0.08499999999999999,0.6633550101700021,0.6633550101700021
c2_minus_c1_pooled,primary,pro,f3,target_kl,first_to_fifth_change,c2,c1_pooled,200,200,0.009796463872760838,0.16811810631657453,less,20,-0.1583216424438137,-0.19411337558285985,-0.12183466234315006,9.5367431640625e-07,1.52587890625e-05
c2_minus_c1_pooled,primary,pro,f3,target_margin,first_to_fifth_change,c2,c1_pooled,200,200,-0.01799543248640838,-0.1163018373422026,greater,20,0.09830640485579423,0.06324676127672654,0.13562813985867114,2.86102294921875e-06,1.52587890625e-05
c2_minus_c1_pooled,primary,pro,f3,target_rank,first_to_fifth_change,c2,c1_pooled,200,200,0.7899999999999999,2.4200000000000004,less,20,-1.6299999999999997,-3.110125,-0.2995000000000028,0.05217588869571231,0.07883344387744434
c2_minus_c1_pooled,primary,pro,f3,target_hit,first_to_fifth_change,c2,c1_pooled,200,200,-0.06000000000000001,-0.07500000000000001,greater,20,0.015000000000000013,-0.09,0.13012499999999938,0.5,0.5333333333333333
c2_minus_c1_pooled_window1,window1_check,flash,f1,target_kl,window_1_level,c2,c1_pooled,400,400,0.1309777081019342,0.11401610537952742,two-sided,20,0.016961602722406804,0.0037625010306669184,0.029404139809139813,0.017181396484375,
c2_minus_c1_pooled_window1,window1_check,flash,f1,target_margin,window_1_level,c2,c1_pooled,400,400,-0.06380895805433458,-0.06553912187669544,two-sided,20,0.0017301638223608776,-0.008318842404784461,0.013206201911195746,0.9854354858398438,
c2_minus_c1_pooled_window1,window1_check,flash,f1,target_rank,window_1_level,c2,c1_pooled,400,400,8.1675,8.454999999999998,two-sided,20,-0.28750000000000003,-1.2975,0.6000624999999996,0.896031834582902,
c2_minus_c1_pooled_window1,window1_check,flash,f1,target_hit,window_1_level,c2,c1_pooled,400,400,0.1275,0.1075,two-sided,20,0.02,-0.042499999999999996,0.09006249999999966,0.4966470260957676,
c2_minus_c1_pooled_window1,window1_check,flash,f3,target_kl,window_1_level,c2,c1_pooled,400,400,0.2623718825772696,0.23333572388864607,two-sided,20,0.029036158688623515,0.004220491599756583,0.05269602371861282,0.05316925048828125,
