row_type,condition,author_set,feature,window_size,window_index,n_runs,n_authors,mean_target_kl,median_target_kl,mean_target_margin,mean_target_rank,target_hit_rate,prediction_entropy_normalized,most_predicted_author,most_predicted_share,cross_target_mean_sym_kl,n_cross_target_pairs,first_window,last_window,mean_delta_target_kl,mean_delta_target_margin,mean_delta_target_rank,target_hit_change_percentage_points,mean_per_window_slope_target_kl,mean_per_window_slope_target_margin,prediction_entropy_change,cross_target_sym_kl_change_pct,first_most_predicted_author,first_most_predicted_share,last_most_predicted_author,last_most_predicted_share,author_wilcoxon_p_target_kl_increase,author_wilcoxon_p_target_margin_decrease,author_wilcoxon_p_target_rank_worsen,author_wilcoxon_p_target_hit_decrease
first_vs_last,pro,all_authors,f3,1000,,200,20,,,,,,,,,,,1,5,0.16811810631657453,-0.1163018373422026,2.42,-7.5,0.0387584903710819,-0.026743474277795803,-0.1026035113534225,-17.761148735546207,herbert_george_wells,0.425,herbert_george_wells,0.425,1.9073486328125e-06,5.245208740234375e-05,0.003207683341250075,0.06341282918854552
position,flash,margin_gt_1,f1,1000,1,260,13,0.1165376471787588,0.10461513448741283,-0.05618988755216773,5.507692307692308,0.12692307692307692,0.4792830569783114,arthur_conan_doyle,0.4807692307692308,0.07530534549830059,31200,,,,,,,,,,,,,,,,,,
position,flash,margin_gt_1,f1,1000,2,260,13,0.16363602647638587,0.1367005830434859,-0.07831294121254397,6.438461538461539,0.11153846153846154,0.44822686760979447,arthur_conan_doyle,0.45,0.06667392792013768,31200,,,,,,,,,,,,,,,,,,
position,flash,margin_gt_1,f1,1000,3,260,13,0.17727279337898916,0.14705038956792005,-0.0881975240687203,6.619230769230769,0.11923076923076924,0.47846639423807336,arthur_conan_doyle,0.4230769230769231,0.07386844805340724,31200,,,,,,,,,,,,,,,,,,
position,flash,margin_gt_1,f1,1000,4,260,13,0.17718379675609203,0.15006157178177815,-0.0878961071939544,6.665384615384616,0.09615384615384616,0.47859757009984627,arthur_conan_doyle,0.45,0.07540725899379964,31200,,,,,,,,,,,,,,,,,,
position,flash,margin_gt_1,f1,1000,5,260,13,0.194335617435836,0.16188803710132232,-0.09501254437214818,6.796153846153846,0.11538461538461539,0.49524454338567536,jane_austen,0.4461538461538462,0.08581376713656567,31200,,,,,,,,,,,,,,,,,,
first_vs_last,flash,margin_gt_1,f1,1000,,260,13,,,,,,,,,,,1,5,0.0777979702570772,-0.03882265681998046,1.2884615384615385,-1.153846153846154,0.016914371079386054,-0.008722847962137131,0.015961486407363945,13.954416607121512,arthur_conan_doyle,0.4807692307692308,jane_austen,0.4461538461538462,0.000244140625,0.001708984375,0.016357421875,0.34375
position,flash,margin_gt_1,f3,1000,1,260,13,0.24503384915181795,0.22655871307563025,-0.11457888450160114,5.703846153846154,0.12692307692307692,0.5628673991979642,arthur_conan_doyle,0.4115384615384615,0.1506562440100909,31200,,,,,,,,,,,,,,,,,,
position,flash,margin_gt_1,f3,1000,2,260,13,0.3270939967532827,0.2835562293417114,-0.16450889462916082,6.5115384615384615,0.12692307692307692,0.5687287043252482,arthur_conan_doyle,0.3384615384615385,0.14394603846558393,31200,,,,,,,,,,,,,,,,,,
position,flash,margin_gt_1,f3,1000,3,260,13,0.3526014485728486,0.2839397416806636,-0.18398772215178938,6.742307692307692,0.1423076923076923,0.5651908749900881,mark_twain,0.3038461538461538,0.1530564449247212,31200,,,,,,,,,,,,,,,,,,
position,flash,margin_gt_1,f3,1000,4,260,13,0.3546909315767046,0.2867945506709539,-0.1849392842572555,6.703846153846154,0.11538461538461539,0.5589222614228736,arthur_conan_doyle,0.36153846153846153,0.16409196265365722,31200,,,,,,,,,,,,,,,,,,
