mark,human_pct,human_n_marks,flash_pct,flash_n_marks,flash_human_over_model,pro_pct,pro_n_marks,pro_human_over_model
!,3.2350477822549517,1036368,0.49404048969707,2127356,6.548143016048302,0.5827077586336845,1061424,5.5517499712727245
"""",22.419256480323593,1036368,11.226329772731974,2127356,1.9970245783068399,14.301259440148328,1061424,1.567642106917198
(,0.17570978648510954,1036368,0.007803113348212523,2127356,22.51790774324197,0.0071601923453775305,1061424,24.539813738180385
),0.17020980964290677,1036368,0.0077090999343786375,2127356,22.079076817237535,0.00706597928820151,1061424,24.088636932055024
",",38.597776079539315,1036368,53.639071222682055,2127356,0.7195832291595998,37.13077902892718,1061424,1.039508921950419
.,26.328871597733624,1036368,31.930762881247897,2127356,0.8245613077160735,45.912283875246835,1061424,0.5734602893917151
:,0.9164698253902089,1036368,0.31532098999885305,2127356,2.90646628184677,0.15403834848279294,1061424,5.9496212106726425
;,4.6671645593071185,1036368,0.6385861134666694,2127356,7.3085907458442065,0.2670940170940171,1061424,17.473864110045852
?,3.4548538742994768,1036368,1.7400002632375586,2127356,1.9855479032348817,1.637234507604878,1061424,2.1101765558029966
^,0.03464020502369815,1036368,0.00037605365533554326,2127356,92.115059997993,0.0003768522287040806,1061424,91.91986244268445
