chunk_size,feature,group,n_pairs,mean_sym_kl,median_sym_kl,ratio_to_human_same_book,ratio_to_human_across_book
1000,f1,human_same_book,12125,0.034000321284830826,0.02185453978604571,1.0,0.5539261999698284
1000,f1,human_across_book,22169,0.06138059778844687,0.03779232808020143,1.8052946404312862,1.0
1000,f1,llm_flash_run_pairs,3800,0.05306545472295783,0.028183427955871438,1.5607339200830692,0.8645314095156282
1000,f1,llm_pro_run_pairs,900,0.042559633970858074,0.01844513529377815,1.251742111914865,0.6933727513952087
1000,f3,human_same_book,12125,0.08833991692851081,0.06798072610206578,1.0,0.6583249513434266
1000,f3,human_across_book,22169,0.1341889240993188,0.10205616611681806,1.519006681972673,1.0
1000,f3,llm_flash_run_pairs,3800,0.11130857212583935,0.06958655432392938,1.2600031333051394,0.829491501425671
1000,f3,llm_pro_run_pairs,900,0.08487566719549024,0.05023427287538239,0.9607850012376169,0.6325087391912483
2000,f1,human_same_book,2757,0.020528300581839017,0.01350977108945332,1.0,0.42255115301587864
2000,f1,human_across_book,5242,0.0485818117766859,0.027836217771335173,2.366577378532019,1.0
2000,f1,llm_flash_run_pairs,3800,0.047085137563594934,0.02701726752536433,2.2936695307964374,0.969192704875424
2000,f1,llm_pro_run_pairs,900,0.034686946223842,0.014453724954132339,1.6897134804489786,0.7139903794301892
2000,f3,human_same_book,2757,0.05580622019694188,0.04311012056651197,1.0,0.5193087325364577
2000,f3,human_across_book,5242,0.10746251064249926,0.07679247104909825,1.9256367885741181,1.0
2000,f3,llm_flash_run_pairs,3800,0.10482187694738714,0.0657922624892103,1.8783188787462666,0.975427396221024
2000,f3,llm_pro_run_pairs,900,0.07207340939448778,0.03785893444101885,1.2914941943772305,0.670684213160233
4000,f1,human_same_book,562,0.012682925390427667,0.008757820968806333,1.0,0.3031236993414948
4000,f1,human_across_book,1170,0.04184075813926798,0.02213978821523537,3.2989832275483497,1.0
4000,f1,llm_flash_run_pairs,3800,0.03983352799464448,0.023260183129585138,3.140720832806326,0.9520269174391538
4000,f1,llm_pro_run_pairs,900,0.029100441286498153,0.013702109229849886,2.294458130965705,0.6955046366424965
4000,f3,human_same_book,562,0.03568141957001429,0.028550376465067955,1.0,0.3708725243813665
4000,f3,human_across_book,1170,0.09620939062426542,0.06218930529345641,2.6963442537784346,1.0
4000,f3,llm_flash_run_pairs,3800,0.09027806150047045,0.05787691917656238,2.5301140646415794,0.9383497901264224
4000,f3,llm_pro_run_pairs,900,0.06502647555984792,0.034074588646783824,1.8224183999252772,0.6758849124593383
