mark,human_pct,human_n_marks
!,3.2350477822549517,1036368
"""",22.419256480323593,1036368
(,0.17570978648510954,1036368
),0.17020980964290677,1036368
",",38.597776079539315,1036368
.,26.328871597733624,1036368
:,0.9164698253902089,1036368
;,4.6671645593071185,1036368
?,3.4548538742994768,1036368
^,0.03464020502369815,1036368
