condition,cohort,n_runs,raw_commas,raw_em_dashes,raw_en_dashes,raw_standard_marks,processed_commas,processed_standard_marks,raw_dashes,comma_increase_after_policy,dash_to_comma_accounting_difference,raw_comma_share_excluding_dashes,processed_comma_share
flash,new,200,538942,54,125,1037583,539121,1037762,179,179,0,0.5194206150254967,0.5195035085115856
pro,new,100,189541,4,6,491192,189551,491202,10,10,0,0.3858796560204564,0.38589215841955044
