condition,feature,chunk_size,left_window,right_window,metric,mean_difference,ci_low,ci_high,n_authors,wilcoxon_p,pooled_auc_left,pooled_auc_right,pooled_tpr_left,pooled_tpr_right,pooled_auc_difference,pooled_auc_difference_ci_low,pooled_auc_difference_ci_high,pooled_tpr_difference,pooled_tpr_difference_ci_low,pooled_tpr_difference_ci_high,benjamini_hochberg_p
flash,f3,2000,prefix,late,author_equal_tpr,0.1275,0.045,0.215,20,0.005923790317615369,0.9524123711340207,0.9689948453608247,0.755,0.8825,0.016582474226804034,0.005524009088374009,0.03751690848214279,0.12749999999999995,0.0050000000000000044,0.20500000000000007,0.005923790317615369
flash,f3,2000,prefix,late,author_equal_mean_g,194.6682498510108,119.63595362053162,281.80710147397343,20,1.9073486328125e-06,,,,,,,,,,,3.814697265625e-06
pro,f3,2000,prefix,late,author_equal_tpr,0.15999999999999998,0.085,0.25,20,0.0010700885808033968,0.9308865979381443,0.9664845360824742,0.715,0.875,0.03559793814432988,0.014931711412653077,0.06274608862120792,0.16000000000000003,0.030000000000000027,0.31,0.001426784774404529
pro,f3,2000,prefix,late,author_equal_mean_g,338.8264630348571,258.0485286172456,424.8716561333964,20,9.5367431640625e-07,,,,,,,,,,,3.814697265625e-06
