phase,model,reference,dwell_scale,contrast,feature,n_chunk_sizes,fixed_intercept_rho,implied_delta
sweep,two_state_hsmm,estimated,1.0,0.5,f3,3,-3.840832509040044e-05,-0.0017283746290680199
sweep,two_state_hsmm,estimated,1.0,0.75,f1,3,0.0004497831683517733,0.00202402425758298
sweep,two_state_hsmm,estimated,1.0,0.75,f3,3,-2.6561474369527094e-05,-0.0011952663466287192
sweep,two_state_hsmm,estimated,1.0,1.0,f1,3,0.0006139958785954123,0.0027629814536793557
sweep,two_state_hsmm,estimated,1.0,1.0,f3,3,-1.1730517419572026e-05,-0.0005278732838807412
sweep,two_state_hsmm,estimated,1.0,1.25,f1,3,0.0006949095731563137,0.0031270930792034117
sweep,two_state_hsmm,estimated,1.0,1.25,f3,3,-7.238306715753412e-06,-0.0003257238022089035
sweep,two_state_hsmm,estimated,1.0,1.5,f1,3,0.0007403331307468962,0.003331499088361033
sweep,two_state_hsmm,estimated,1.0,1.5,f3,3,-1.1475472669814378e-07,-5.16396270141647e-06
sweep,two_state_hsmm,estimated,1.0,2.0,f1,3,0.0009914149208792254,0.004461367143956514
sweep,two_state_hsmm,estimated,1.0,2.0,f3,3,1.6604636614436824e-05,0.0007472086476496571
sweep,two_state_hsmm,estimated,1.5,0.0,f1,3,6.641120558232223e-05,0.00029885042512045005
sweep,two_state_hsmm,estimated,1.5,0.0,f3,3,-6.529375688020643e-05,-0.0029382190596092895
sweep,two_state_hsmm,estimated,1.5,0.25,f1,3,0.00022344879050809435,0.0010055195572864245
sweep,two_state_hsmm,estimated,1.5,0.25,f3,3,-4.5358997269374315e-05,-0.0020411548771218442
sweep,two_state_hsmm,estimated,1.5,0.5,f1,3,0.0005133865123382609,0.002310239305522174
sweep,two_state_hsmm,estimated,1.5,0.5,f3,3,-2.6370536738281485e-05,-0.0011866741532226667
sweep,two_state_hsmm,estimated,1.5,0.75,f1,3,0.0006687877862966385,0.0030095450383348732
