feature,chunk_size,n_human,n_simulated,two_sample_ks_d,wasserstein_distance,human_negative_fraction,simulated_negative_fraction,human_q95,simulated_q95,human_q99,simulated_q99,human_cv,simulated_cv,human_skew,simulated_skew
f1,1000,1003,2000,0.502888334995015,0.02787675158350099,0.03788634097706879,0.232,0.1158474866608667,0.02465718326995448,0.262120569690782,0.05475540006859712,1.4453893784644818,1.809384408317499,3.933981243863048,4.1860940394383865
f1,2000,485,2000,0.594201030927835,0.024317305658734256,0.010309278350515464,0.201,0.08923032736228377,0.014275287961974642,0.22083311658760363,0.02574281033044526,1.4606228106852748,1.6311365782984382,4.243570025444219,4.31346728751303
f1,4000,225,2000,0.7543888888888889,0.022123359379784224,0.0,0.1945,0.0794235592579919,0.007354345483711604,0.1884133793808882,0.014771317548658042,1.385080757113552,1.7448432290404854,3.718243892626377,5.649415967948781
f3,1000,1003,2000,0.5410019940179461,0.03417011152285428,0.3629112662013958,0.897,0.10902163235328857,0.006182732828260079,0.26313801190070385,0.026482462261750175,2.3303056400551734,nan,3.61814479019344,2.8591481195377613
f3,2000,485,2000,0.658701030927835,0.03059794387827064,0.15670103092783505,0.777,0.09507302206147074,0.006932815693272828,0.21716826578953669,0.015059798757468953,1.5448071840110102,nan,3.690971768695292,2.4498268056701735
f3,4000,225,2000,0.8030555555555555,0.028565241097953522,0.02666666666666667,0.555,0.08670134641189801,0.0051336775325744955,0.20536145679824827,0.010793176167506087,1.2272360282182846,17.780252688901484,3.2394916480198033,4.124009222743644
