dwell_scale,contrast,simulated_rho,observed_rho,rho_difference,simulated_delta,observed_delta,phi_rmse
0.25,0.0,-6.569370458747925e-05,0.0006292088575407687,-0.0006949025621282479,-0.002956216706436566,0.02831439858933459,1.8425425933185418
0.25,0.25,-5.955126232958221e-05,0.0006292088575407687,-0.0006887601198703509,-0.0026798068048311994,0.02831439858933459,1.8268701687229858
0.25,0.5,-4.9755201596070316e-05,0.0006292088575407687,-0.000678964059136839,-0.002238984071823164,0.02831439858933459,1.800559895360027
0.25,0.75,-5.032750450480585e-05,0.0006292088575407687,-0.0006795363620455745,-0.0022647377027162634,0.02831439858933459,1.8007237928525375
0.25,1.0,-4.073150192660164e-05,0.0006292088575407687,-0.0006699403594673703,-0.0018329175866970738,0.02831439858933459,1.7758253075387893
0.25,1.25,-3.702274339762489e-05,0.0006292088575407687,-0.0006662316009383935,-0.0016660234528931201,0.02831439858933459,1.7654500323861382
0.25,1.5,-3.2636250464226904e-05,0.0006292088575407687,-0.0006618451080049956,-0.0014686312708902106,0.02831439858933459,1.7526581015382985
0.25,2.0,-1.9464243011994586e-05,0.0006292088575407687,-0.0006486731005527633,-0.0008758909355397564,0.02831439858933459,1.7173793303589717
0.5,0.0,-6.239282722894594e-05,0.0006292088575407687,-0.0006916016847697146,-0.0028076772253025676,0.02831439858933459,1.8348484471541602
0.5,0.25,-5.931254716896779e-05,0.0006292088575407687,-0.0006885214047097364,-0.002669064622603551,0.02831439858933459,1.8260901652841917
0.5,0.5,-4.8239716871451276e-05,0.0006292088575407687,-0.0006774485744122199,-0.0021707872592153076,0.02831439858933459,1.7948822732602534
0.5,0.75,-3.769464692673997e-05,0.0006292088575407687,-0.0006669035044675086,-0.0016962591117032986,0.02831439858933459,1.7669667789469967
0.5,1.0,-3.5134317750482155e-05,0.0006292088575407687,-0.0006643431752912509,-0.001581044298771697,0.02831439858933459,1.7596251803291245
0.5,1.25,-3.122892698453992e-05,0.0006292088575407687,-0.0006604377845253086,-0.0014053017143042966,0.02831439858933459,1.7496758957485137
0.5,1.5,-1.8405927592755486e-05,0.0006292088575407687,-0.0006476147851335242,-0.0008282667416739969,0.02831439858933459,1.7149422826247231
0.5,2.0,-7.576349559224186e-06,0.0006292088575407687,-0.0006367852070999928,-0.0003409357301650884,0.02831439858933459,1.6857442126749727
0.75,0.0,-6.263746456011111e-05,0.0006292088575407687,-0.0006918463221008798,-0.002818685905205,0.02831439858933459,1.8351432351659873
