chunk_size,feature,group,n_pairs,mean_sym_kl,median_sym_kl,ratio_to_human_same_book,ratio_to_human_across_book
1000,f1,human_same_book,12125,0.034000321284830826,0.02185453978604571,1.0,0.5539261999698284
1000,f1,human_across_book,22169,0.06138059778844687,0.03779232808020143,1.8052946404312862,1.0
1000,f1,llm_flash_run_pairs,3800,0.044697318946800145,0.027266109604805848,1.314614605325561,0.7281994727528236
1000,f1,llm_pro_run_pairs,900,0.042892820979247896,0.019869928046351633,1.2615416372075414,0.6988009652020892
1000,f3,human_same_book,12125,0.08833991692851081,0.06798072610206578,1.0,0.6583249513434266
1000,f3,human_across_book,22169,0.1341889240993188,0.10205616611681806,1.519006681972673,1.0
1000,f3,llm_flash_run_pairs,3800,0.09681992952715839,0.06764946991926708,1.0959929881472499,0.721519530594775
1000,f3,llm_pro_run_pairs,900,0.08989409469197994,0.05552957748827201,1.0175931540067764,0.6699069635989151
2000,f1,human_same_book,2757,0.020528300581839017,0.01350977108945332,1.0,0.42255115301587864
2000,f1,human_across_book,5242,0.0485818117766859,0.027836217771335173,2.366577378532019,1.0
2000,f1,llm_flash_run_pairs,3800,0.03375799925731738,0.020223549988877196,1.6444614654163052,0.6948690883018411
2000,f1,llm_pro_run_pairs,900,0.0405080609795068,0.012765857707296204,1.9732788312415632,0.8338112453629479
2000,f3,human_same_book,2757,0.05580622019694188,0.04311012056651197,1.0,0.5193087325364577
2000,f3,human_across_book,5242,0.10746251064249926,0.07679247104909825,1.9256367885741181,1.0
2000,f3,llm_flash_run_pairs,3800,0.07870987807431684,0.05211739333103472,1.4104140684774429,0.7324403422526095
2000,f3,llm_pro_run_pairs,900,0.08018335692243993,0.035123758161384036,1.4368175561697312,0.7461519039806336
4000,f1,human_same_book,562,0.012682925390427667,0.008757820968806333,1.0,0.3031236993414948
4000,f1,human_across_book,1170,0.04184075813926798,0.02213978821523537,3.2989832275483497,1.0
4000,f1,llm_flash_run_pairs,3800,0.026006896372263593,0.014028687871501442,2.05054398505664,0.6215684784128196
4000,f1,llm_pro_run_pairs,900,0.03906817205188241,0.008417328158757346,3.080375453550235,0.933734802840882
4000,f3,human_same_book,562,0.03568141957001429,0.028550376465067955,1.0,0.3708725243813665
4000,f3,human_across_book,1170,0.09620939062426542,0.06218930529345641,2.6963442537784346,1.0
4000,f3,llm_flash_run_pairs,3800,0.06044669163761679,0.037764027206331464,1.694066333852215,0.6282826577052578
4000,f3,llm_pro_run_pairs,900,0.07656011198954833,0.023860838586697814,2.1456576815650967,0.7957654808203176
