chunk_size,feature,condition,n_human,n_llm,human_median_G,llm_median_G,auc,threshold_95pct_human,tpr_at_5pct_fpr,mannwhitney_p_llm_greater
500,f1,phaseA_flash,649,200,33.752255618262154,105.8838511635737,0.8394530046224962,121.10672753995608,0.375,3.858612352500704e-48
500,f1,phaseB_pro,649,100,33.752255618262154,76.04740173862345,0.7329583975346687,121.10672753995608,0.23,3.0329091234678705e-14
500,f3,phaseA_flash,649,200,78.57709018491163,152.0507780636961,0.8636517719568567,162.76687894926718,0.45,6.117996679821607e-55
500,f3,phaseB_pro,649,100,78.57709018491163,126.42114314916188,0.7375038520801233,162.76687894926718,0.28,9.80751520357967e-15
1000,f1,phaseA_flash,404,200,46.474033476957125,209.253402636409,0.9358168316831683,167.97901627142292,0.64,1.8194774880914506e-68
1000,f1,phaseB_pro,404,100,46.474033476957125,182.54435901978732,0.8867079207920792,167.97901627142292,0.57,2.2258047180815246e-33
1000,f3,phaseA_flash,404,200,106.28457803727726,293.27600145291274,0.9418069306930693,232.65259325497053,0.665,2.6581246411910796e-70
1000,f3,phaseB_pro,404,100,106.28457803727726,263.02986542982165,0.8904207920792079,232.65259325497053,0.58,5.519778130320537e-34
2000,f1,phaseA_flash,198,200,66.37307474838141,433.3814127468054,0.9650757575757576,262.90118209449474,0.845,2.8775963148383727e-58
2000,f1,phaseB_pro,198,100,66.37307474838141,487.7049111212136,0.9488888888888889,262.90118209449474,0.8,5.3671234932142e-37
2000,f3,phaseA_flash,198,200,143.9847860381045,582.5076693326341,0.9725252525252526,364.52487143917966,0.85,4.4246126873349127e-60
2000,f3,phaseB_pro,198,100,143.9847860381045,625.2867517952321,0.9532323232323232,364.52487143917966,0.8,1.1207823206677746e-37
