method,condition,feature,chunk_size,start_mark,end_mark,window_name,window_label,n_authors,n_human,n_llm,target_fpr,empirical_fpr,tpr,auc,empirical_fpr_ci_low,empirical_fpr_ci_high,tpr_ci_low,tpr_ci_high,auc_ci_low,auc_ci_high
out_of_author_crossfit,flash,f3,2000,0,2000,prefix,marks 1-2000,20,485,400,0.05,0.05360824742268041,0.815,0.9590927835051546,0.03956043956043956,0.13509594298245609,0.3349375000000001,0.9725,0.9024654991405914,0.9871261195482866
out_of_author_crossfit,pro,f3,2000,0,2000,prefix,marks 1-2000,20,485,200,0.05,0.05360824742268041,0.37,0.8417216494845361,0.04016872895435748,0.1380423770694341,0.15,0.635,0.7447596564180108,0.9126049107142857
out_of_author_crossfit,flash,f3,2000,2000,4000,late,marks 2001-4000,20,485,400,0.05,0.05360824742268041,0.8775,0.9690876288659794,0.03902413983072069,0.1369631555153704,0.37487500000000024,0.9925,0.9166673817434329,0.9922478513666284
out_of_author_crossfit,pro,f3,2000,2000,4000,late,marks 2001-4000,20,485,200,0.05,0.05360824742268041,0.475,0.8611443298969073,0.03925198577324929,0.15082653061224457,0.16987500000000022,0.715,0.7682756476249482,0.9291072287037581
out_of_author_crossfit,flash,f3,1000,0,1000,window_1,marks 1-1000,20,1003,400,0.05,0.049850448654037885,0.5825,0.9216201395812562,0.042379589381355276,0.11721484277858484,0.2475,0.84,0.8539821650900964,0.9623519306453294
out_of_author_crossfit,pro,f3,1000,0,1000,window_1,marks 1-1000,20,1003,200,0.05,0.049850448654037885,0.195,0.7763908275174477,0.04262961347653056,0.12071391373444287,0.11,0.41,0.6776034676163939,0.866060116895064
out_of_author_crossfit,flash,f3,1000,1000,2000,window_2,marks 1001-2000,20,1003,400,0.05,0.049850448654037885,0.7575,0.95160518444666,0.04308929262762016,0.1157464572450651,0.3225,0.9575,0.8891148641564822,0.9821961000180615
out_of_author_crossfit,pro,f3,1000,1000,2000,window_2,marks 1001-2000,20,1003,200,0.05,0.049850448654037885,0.275,0.8136640079760717,0.042964284035564106,0.11605255309983757,0.13,0.6,0.720213631713021,0.8877474505720968
out_of_author_crossfit,flash,f3,1000,2000,3000,window_3,marks 2001-3000,20,1003,400,0.05,0.049850448654037885,0.725,0.9514032901296111,0.042704281051318294,0.11281170483460556,0.3199375000000001,0.9425,0.8910648198003694,0.9807946716826266
out_of_author_crossfit,pro,f3,1000,2000,3000,window_3,marks 2001-3000,20,1003,200,0.05,0.049850448654037885,0.3,0.8158424725822533,0.0427158275594718,0.12077514158794013,0.14,0.5602499999999987,0.7149409633782615,0.8960288802592955
out_of_author_crossfit,flash,f3,1000,3000,4000,window_4,marks 3001-4000,20,1003,400,0.05,0.049850448654037885,0.7225,0.9506380857427716,0.0423728813559322,0.11781918157866823,0.2975,0.945,0.8893641842273308,0.9796936061508378
out_of_author_crossfit,pro,f3,1000,3000,4000,window_4,marks 3001-4000,20,1003,200,0.05,0.049850448654037885,0.25,0.8134097706879362,0.04254634699624532,0.11635482873490936,0.13,0.545,0.7125964701022305,0.8946317248438039
out_of_author_crossfit,flash,f3,1000,4000,5000,window_5,marks 4001-5000,20,1003,400,0.05,0.049850448654037885,0.7325,0.948143070787637,0.042200344741484166,0.11429780943421576,0.3,0.9375,0.8883729359426957,0.9795823747587599
out_of_author_crossfit,pro,f3,1000,4000,5000,window_5,marks 4001-5000,20,1003,200,0.05,0.049850448654037885,0.24,0.8131306081754736,0.043256179995719485,0.12247824894703525,0.12,0.5501249999999993,0.7157906390422111,0.8931133605617199
