mark,human_pct,human_n_marks,flash_pct,flash_n_marks,flash_human_over_model,pro_pct,pro_n_marks,pro_human_over_model
!,3.2350477822549517,1036368,1.0903847542355245,2354490,2.9668864771711374,2.114334951385698,1168689,1.5300545356518644
"""",22.419256480323593,1036368,11.895909517560066,2354490,1.8846189479862436,18.27714644357909,1168689,1.2266278299805198
(,0.17570978648510954,1036368,0.005011701047785295,2354490,35.05990976112928,0.006759711095081754,1168689,25.993682868037492
),0.17020980964290677,1036368,0.004926756962229612,2354490,34.54804264707997,0.006674145131852871,1168689,25.50286310535373
",",38.597776079539315,1036368,59.65291846641948,2354490,0.6470391905681401,39.8729687709904,1168689,0.9680186168535599
.,26.328871597733624,1036368,24.569779442681856,2354490,1.0715957649988477,35.96850830289324,1168689,0.731997873695968
:,0.9164698253902089,1036368,0.16712748833080623,2354490,5.483657024607353,0.2400125268570167,1168689,3.8184249688608123
;,4.6671645593071185,1036368,0.6012342375631241,2354490,7.762639363692439,1.1630981381702061,1168689,4.012700567683423
?,3.4548538742994768,1036368,2.0112635857446834,2354490,1.7177529085628498,2.3498980481548126,1168689,1.4702143682413362
^,0.03464020502369815,1036368,0.0014440494544466105,2354490,23.988240095955014,0.0005989617426021808,1168689,57.833752241343944
