row_type,condition,author_set,feature,window_size,window_index,n_runs,n_authors,mean_target_kl,median_target_kl,mean_target_margin,mean_target_rank,target_hit_rate,prediction_entropy_normalized,most_predicted_author,most_predicted_share,cross_target_mean_sym_kl,n_cross_target_pairs,first_window,last_window,mean_delta_target_kl,mean_delta_target_margin,mean_delta_target_rank,target_hit_change_percentage_points,mean_per_window_slope_target_kl,mean_per_window_slope_target_margin,prediction_entropy_change,cross_target_sym_kl_change_pct,first_most_predicted_author,first_most_predicted_share,last_most_predicted_author,last_most_predicted_share,author_wilcoxon_p_target_kl_increase,author_wilcoxon_p_target_margin_decrease,author_wilcoxon_p_target_rank_worsen,author_wilcoxon_p_target_hit_decrease
first_vs_last,pro,all_authors,f3,1000,,200,20,,,,,,,,,,,1,5,0.00979646387276084,-0.017995432486408378,0.79,-6.0,0.0014584754740212585,-0.003037724544991665,-0.1413616098432957,-26.60396045599851,herbert_george_wells,0.22,herbert_george_wells,0.33,0.02422046661376953,0.0015764236450195312,0.022495279754906925,0.11045435918220253
position,flash,margin_gt_1,f1,1000,1,260,13,0.12245971787543533,0.10391616820212839,-0.05888971240451704,5.269230769230769,0.16538461538461538,0.6172379169548444,jane_austen,0.3230769230769231,0.09864328613292112,31200,,,,,,,,,,,,,,,,,,
position,flash,margin_gt_1,f1,1000,2,260,13,0.15758446742628973,0.13675500227366913,-0.07486619251965217,5.8307692307692305,0.12692307692307692,0.5589059680426737,jane_austen,0.39615384615384613,0.09239940603436728,31200,,,,,,,,,,,,,,,,,,
position,flash,margin_gt_1,f1,1000,3,260,13,0.1531548056294914,0.13585188965626485,-0.07096404067719364,5.665384615384616,0.1346153846153846,0.5310416558279271,jane_austen,0.3923076923076923,0.0877953275263072,31200,,,,,,,,,,,,,,,,,,
position,flash,margin_gt_1,f1,1000,4,260,13,0.14591042541544877,0.13014929581012574,-0.07140272533021617,5.838461538461538,0.11538461538461539,0.5369256867799789,jane_austen,0.41923076923076924,0.07739726385759264,31200,,,,,,,,,,,,,,,,,,
position,flash,margin_gt_1,f1,1000,5,260,13,0.1487699893210993,0.12633849563898725,-0.06841782975114219,5.642307692307693,0.1423076923076923,0.5626458054956787,jane_austen,0.36923076923076925,0.0896713267374542,31200,,,,,,,,,,,,,,,,,,
first_vs_last,flash,margin_gt_1,f1,1000,,260,13,,,,,,,,,,,1,5,0.026310271445663985,-0.009528117346625153,0.3730769230769231,-2.307692307692308,0.004094650088048692,-0.001559276750381427,-0.05459211145916576,-9.095357370168367,jane_austen,0.3230769230769231,jane_austen,0.36923076923076925,0.0023193359375,0.0198974609375,0.0625,0.4765625
position,flash,margin_gt_1,f3,1000,1,260,13,0.2560004723915796,0.21845068655840114,-0.11796253533439403,5.246153846153846,0.16923076923076924,0.6333187747679635,kathleen_thompson_norris,0.3346153846153846,0.2118854081559575,31200,,,,,,,,,,,,,,,,,,
position,flash,margin_gt_1,f3,1000,2,260,13,0.3139887446826013,0.27643435236671954,-0.15324382707815146,5.846153846153846,0.09615384615384616,0.5769394533333222,jane_austen,0.34615384615384615,0.1974937019096733,31200,,,,,,,,,,,,,,,,,,
position,flash,margin_gt_1,f3,1000,3,260,13,0.30446464236519494,0.2755390457191263,-0.14540480452650661,5.642307692307693,0.12307692307692308,0.5537343991304593,jane_austen,0.36153846153846153,0.1883818398336254,31200,,,,,,,,,,,,,,,,,,
position,flash,margin_gt_1,f3,1000,4,260,13,0.29665020150315885,0.2538480657852481,-0.14544943011952094,5.9,0.11153846153846154,0.577912844448347,jane_austen,0.36538461538461536,0.17504161681606675,31200,,,,,,,,,,,,,,,,,,
position,flash,margin_gt_1,f3,1000,5,260,13,0.300964788021317,0.27165551845041,-0.1430693314988736,5.834615384615384,0.11153846153846154,0.5722852446590792,jane_austen,0.3153846153846154,0.19055372400431045,31200,,,,,,,,,,,,,,,,,,
first_vs_last,flash,margin_gt_1,f3,1000,,260,13,,,,,,,,,,,1,5,0.044964315629737385,-0.025106796164479552,0.5884615384615385,-5.769230769230769,0.007259008808003214,-0.004241919537032849,-0.06103353010888435,-10.067556957931679,kathleen_thompson_norris,0.3346153846153846,jane_austen,0.3153846153846154,0.0003662109375,0.001220703125,0.01025390625,0.203125
position,pro,margin_gt_1,f1,1000,1,130,13,0.05314881179075335,0.048737577083968246,-0.025920223901023554,4.269230769230769,0.2153846153846154,0.742934134256111,arthur_conan_doyle,0.4,0.07532860076352932,7800,,,,,,,,,,,,,,,,,,
position,pro,margin_gt_1,f1,1000,2,130,13,0.06588698932685487,0.06296573097403553,-0.037056996277525435,5.1,0.17692307692307693,0.637154081070909,arthur_conan_doyle,0.46923076923076923,0.06237877442122194,7800,,,,,,,,,,,,,,,,,,
position,pro,margin_gt_1,f1,1000,3,130,13,0.06601413511632603,0.06352953614774981,-0.037230360065890006,5.184615384615385,0.18461538461538463,0.5917601438903598,arthur_conan_doyle,0.5,0.05697693578490178,7800,,,,,,,,,,,,,,,,,,
position,pro,margin_gt_1,f1,1000,4,130,13,0.06332678657944255,0.06330868548067756,-0.03368573076271661,4.8538461538461535,0.17692307692307693,0.6630382855685696,arthur_conan_doyle,0.4461538461538462,0.059069147553002826,7800,,,,,,,,,,,,,,,,,,
position,pro,margin_gt_1,f1,1000,5,130,13,0.06514735503665611,0.06521585742403288,-0.03723728354298006,5.023076923076923,0.16923076923076924,0.5692698240097938,arthur_conan_doyle,0.5,0.054470323786959526,7800,,,,,,,,,,,,,,,,,,
first_vs_last,pro,margin_gt_1,f1,1000,,130,13,,,,,,,,,,,1,5,0.011998543245902753,-0.0113170596419565,0.7538461538461538,-4.615384615384616,0.0021436883744393146,-0.0019262853769104154,-0.17366431024631723,-27.689717803265534,arthur_conan_doyle,0.4,arthur_conan_doyle,0.5,0.0040283203125,0.0040283203125,0.0087890625,0.140625
position,pro,margin_gt_1,f3,1000,1,130,13,0.1278097636408965,0.11824707867640752,-0.04577497153942377,3.830769230769231,0.19230769230769232,0.750412444510368,arthur_conan_doyle,0.33076923076923076,0.16002847616946814,7800,,,,,,,,,,,,,,,,,,
position,pro,margin_gt_1,f3,1000,2,130,13,0.151211119181258,0.14225729376072133,-0.07111542486640461,4.869230769230769,0.16153846153846155,0.6522341250729157,arthur_conan_doyle,0.4307692307692308,0.12457138643436506,7800,,,,,,,,,,,,,,,,,,
position,pro,margin_gt_1,f3,1000,3,130,13,0.1497057656396583,0.13992561384052038,-0.06768111404487999,4.976923076923077,0.16153846153846155,0.6357880459655219,arthur_conan_doyle,0.4153846153846154,0.11860113853458869,7800,,,,,,,,,,,,,,,,,,
position,pro,margin_gt_1,f3,1000,4,130,13,0.1427662109032802,0.14649527119421635,-0.06101021758206039,4.653846153846154,0.17692307692307693,0.6501901967788343,arthur_conan_doyle,0.3923076923076923,0.12092585299640454,7800,,,,,,,,,,,,,,,,,,
position,pro,margin_gt_1,f3,1000,5,130,13,0.14333940821147828,0.13924754478418339,-0.06601996309056009,4.607692307692307,0.17692307692307693,0.6020422282494511,arthur_conan_doyle,0.43846153846153846,0.11207780359470218,7800,,,,,,,,,,,,,,,,,,
first_vs_last,pro,margin_gt_1,f3,1000,,130,13,,,,,,,,,,,1,5,0.01552964457058177,-0.020244991551136328,0.7769230769230769,-1.5384615384615385,0.002261438086318561,-0.0030384775817928387,-0.14837021626091695,-29.963837513510285,arthur_conan_doyle,0.33076923076923076,arthur_conan_doyle,0.43846153846153846,0.0133056640625,0.0030517578125,0.0057373046875,0.390625
