fold,cap_f1,cap_f3,observed_delta_f3,cap_f3_over_observed_delta
0,0.1821225235405783,0.15155182789925503,0.02831439858933459,5.352465016026908
1,0.1815255703677766,0.15225446400719742,0.02831439858933459,5.377280521315693
2,0.18163634997683104,0.15495163125492134,0.02831439858933459,5.472538318835711
3,0.16732225175986565,0.14042502537942658,0.02831439858933459,4.959491720665457
4,0.17428560698136025,0.14693238202055198,0.02831439858933459,5.189316720147401
mean,0.1773784605252824,0.14922306611227049,0.02831439858933459,5.270218459398235
