dwell_scale,seed,fold,author,target_book,chunk_size,chunk_index,replicate,G,excess_delta
64.0,20260918,3,charles_dickens,gutenberg_texts/98.txt,1000,14,18,81.5806555153098,-0.0042096722423451
64.0,20260918,3,susan_warner,gutenberg_texts/29824.txt,2000,13,18,302.97972222232147,0.05324493055558037
64.0,20260918,3,susan_warner,gutenberg_texts/8874.txt,4000,11,18,705.0780903236438,0.07688476129045548
64.0,20260918,4,charlotte_bronte,gutenberg_texts/1260.txt,1000,13,19,124.9759137056175,0.01748795685280875
64.0,20260918,3,john_c_hutcheson,gutenberg_texts/21108.txt,2000,5,19,790.6760415567855,0.17516901038919638
64.0,20260918,0,kathleen_thompson_norris,gutenberg_texts/28301.txt,4000,1,19,339.396373910625,0.031174546738828128
64.0,20260918,3,susan_warner,gutenberg_texts/8874.txt,1000,39,20,100.76594819244873,0.005382974096224367
64.0,20260918,3,susan_warner,gutenberg_texts/8874.txt,2000,19,20,528.7091131826531,0.10967727829566329
64.0,20260918,4,mary_shelley,gutenberg_texts/15238.txt,4000,1,20,366.3656656861844,0.03454570821077305
64.0,20260918,0,herbert_george_wells,gutenberg_texts/35.txt,1000,3,21,189.94660022553177,0.049973300112765885
64.0,20260918,3,oscar_wilde,gutenberg_texts/773.txt,2000,2,21,102.84005707157466,0.0032100142678936658
64.0,20260918,4,charlotte_bronte,gutenberg_texts/9182.txt,4000,1,21,140.5455507737066,0.006318193846713324
64.0,20260918,1,robert_sidney_bowen,gutenberg_texts/32331.txt,1000,8,22,344.5385975849191,0.12726929879245955
64.0,20260918,4,mary_shelley,gutenberg_texts/84.txt,2000,2,22,522.796832095115,0.10819920802377873
64.0,20260918,3,charles_dickens,gutenberg_texts/46.txt,4000,1,22,408.9201317888803,0.03986501647361004
64.0,20260918,2,jane_austen,gutenberg_texts/161.txt,1000,16,23,192.63908033500425,0.05131954016750213
64.0,20260918,4,mary_shelley,gutenberg_texts/18247.txt,2000,7,23,325.5625189536254,0.05889062973840635
64.0,20260918,3,susan_warner,gutenberg_texts/16918.txt,4000,7,23,109.56518135291195,0.002445647669113994
64.0,20260918,4,ethel_m_dell,gutenberg_texts/12360.txt,1000,8,24,272.62237352072987,0.09131118676036493
64.0,20260918,2,mark_twain,gutenberg_texts/76.txt,2000,6,24,57.6434585377142,-0.008089135365571449
64.0,20260918,3,john_c_hutcheson,gutenberg_texts/21107.txt,4000,2,24,59.363903531695506,-0.0038295120585380617
64.0,20260918,1,robert_sidney_bowen,gutenberg_texts/32542.txt,1000,1,25,203.31413143811395,0.05665706571905697
64.0,20260918,0,mildred_wirt,gutenberg_texts/34832.txt,2000,4,25,1204.044103290473,0.2785110258226183
64.0,20260918,4,ethel_m_dell,gutenberg_texts/13547.txt,4000,5,25,1243.1026855620232,0.1441378356952529
64.0,20260918,3,susan_warner,gutenberg_texts/8874.txt,1000,48,26,256.18218253487555,0.08309109126743777
64.0,20260918,0,joseph_conrad,gutenberg_texts/2021.txt,2000,7,26,82.7514639047738,-0.00181213402380655
64.0,20260918,2,jane_austen,gutenberg_texts/1342.txt,4000,2,26,1348.611269841795,0.15732640873022438
64.0,20260918,3,john_c_hutcheson,gutenberg_texts/24267.txt,1000,7,27,70.69568730641161,-0.009652156346794193
64.0,20260918,4,charlotte_bronte,gutenberg_texts/9182.txt,2000,9,27,60.80973447640784,-0.00729756638089804
64.0,20260918,2,harold_l_goodwin,gutenberg_texts/31589.txt,4000,1,27,517.8914476514994,0.05348643095643743
64.0,20260918,4,charlotte_bronte,gutenberg_texts/1260.txt,1000,23,28,95.29039804153943,0.0026451990207697167
64.0,20260918,4,charlotte_bronte,gutenberg_texts/9182.txt,2000,12,28,183.19398821687696,0.02329849705421924
64.0,20260918,0,joseph_conrad,gutenberg_texts/219.txt,4000,1,28,105.8019791405688,0.0019752473925711005
64.0,20260918,2,mark_twain,gutenberg_texts/74.txt,1000,3,29,185.99854122412896,0.04799927061206448
64.0,20260918,3,susan_warner,gutenberg_texts/16918.txt,2000,23,29,446.30136207563766,0.08907534051890942
64.0,20260918,4,charlotte_bronte,gutenberg_texts/9182.txt,4000,3,29,289.4565249623019,0.024932065620287738
64.0,20260918,0,joseph_conrad,gutenberg_texts/2021.txt,1000,7,30,66.37202125141249,-0.011813989374293754
64.0,20260918,4,charlotte_bronte,gutenberg_texts/9182.txt,2000,13,30,205.5228998426796,0.0288807249606699
64.0,20260918,3,charles_dickens,gutenberg_texts/98.txt,4000,1,30,145.118285105222,0.006889785638152748
64.0,20260918,1,robert_sidney_bowen,gutenberg_texts/32542.txt,1000,4,31,58.19954994949519,-0.015900225025252405
64.0,20260918,4,ethel_m_dell,gutenberg_texts/13960.txt,2000,2,31,251.75399504715006,0.04043849876178751
64.0,20260918,1,robert_sidney_bowen,gutenberg_texts/32440.txt,4000,1,31,162.7747901013474,0.009096848762668426
64.0,20260918,4,ethel_m_dell,gutenberg_texts/13960.txt,1000,6,32,86.91605930422739,-0.0015419703478863056
64.0,20260918,3,john_c_hutcheson,gutenberg_texts/24267.txt,2000,1,32,355.54095420011186,0.06638523855002797
64.0,20260918,3,john_c_hutcheson,gutenberg_texts/21107.txt,4000,2,32,231.4062308474344,0.0176757788559293
64.0,20260918,4,charlotte_bronte,gutenberg_texts/9182.txt,1000,26,33,479.15123927824703,0.1945756196391235
64.0,20260918,4,charlotte_bronte,gutenberg_texts/1260.txt,2000,13,33,96.01702075387583,0.0015042551884689565
64.0,20260918,3,susan_warner,gutenberg_texts/16918.txt,4000,5,33,216.67170208986573,0.015833962761233215
64.0,20260918,3,susan_warner,gutenberg_texts/8874.txt,1000,21,34,91.97396685998235,0.0009869834299911773
64.0,20260918,2,jane_austen,gutenberg_texts/1342.txt,2000,3,34,343.14612986308447,0.06328653246577112
64.0,20260918,4,ethel_m_dell,gutenberg_texts/12360.txt,4000,5,34,182.67422208796276,0.011584277760995345
64.0,20260918,3,oscar_wilde,gutenberg_texts/773.txt,1000,2,35,93.30533413644591,0.0016526670682229536
64.0,20260918,4,ethel_m_dell,gutenberg_texts/13547.txt,2000,15,35,80.4558904041268,-0.0023860273989682987
64.0,20260918,0,herbert_george_wells,full_books/herbert_george_wells_full.txt,4000,2,35,470.93272957839145,0.047616591197298934
64.0,20260918,4,ethel_m_dell,gutenberg_texts/13547.txt,1000,6,36,99.65888662924299,0.004829443314621493
64.0,20260918,3,susan_warner,gutenberg_texts/16918.txt,2000,8,36,318.1564442074105,0.05703911105185263
64.0,20260918,3,john_c_hutcheson,gutenberg_texts/24267.txt,4000,2,36,276.2283970949985,0.023278549636874816
64.0,20260918,3,john_c_hutcheson,gutenberg_texts/21107.txt,1000,4,37,534.8724031977578,0.2224362015988789
64.0,20260918,4,arthur_scott_bailey,gutenberg_texts/24589.txt,2000,1,37,76.41077953666172,-0.0033973051158345696
64.0,20260918,2,louis_joseph_vance,gutenberg_texts/9779.txt,4000,2,37,441.91271819857474,0.04398908977482184
64.0,20260918,4,charlotte_bronte,gutenberg_texts/30486.txt,1000,22,38,110.74586279618757,0.010372931398093784
64.0,20260918,3,susan_warner,gutenberg_texts/29824.txt,2000,10,38,175.24842617461923,0.021312106543654806
64.0,20260918,2,mark_twain,gutenberg_texts/86.txt,4000,2,38,550.2364405091296,0.0575295550636412
64.0,20260918,0,kathleen_thompson_norris,gutenberg_texts/4787.txt,1000,13,39,47.723516044780105,-0.021138241977609946
64.0,20260918,3,susan_warner,gutenberg_texts/16918.txt,2000,7,39,97.27032747451268,0.0018175818686281709
64.0,20260918,0,joseph_conrad,gutenberg_texts/5658.txt,4000,3,39,66.39410345761442,-0.0029507370677981973
64.0,20260918,1,robert_sidney_bowen,gutenberg_texts/32542.txt,1000,4,40,92.86503409340779,0.001432517046703893
64.0,20260918,0,kathleen_thompson_norris,gutenberg_texts/3635.txt,2000,1,40,143.253098126976,0.013313274531744
64.0,20260918,1,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,4000,3,40,2160.863395480838,0.25885792443510475
64.0,20260918,4,mary_shelley,gutenberg_texts/84.txt,1000,2,41,278.8404835980874,0.09442024179904371
64.0,20260918,1,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,2000,4,41,120.22796521141814,0.007556991302854535
64.0,20260918,4,charlotte_bronte,gutenberg_texts/9182.txt,4000,9,41,175.13748077336112,0.010642185096670139
64.0,20260918,3,susan_warner,gutenberg_texts/16918.txt,1000,28,42,98.92749078031689,0.004463745390158444
64.0,20260918,4,ethel_m_dell,gutenberg_texts/12360.txt,2000,4,42,115.36594820424341,0.006341487051060852
64.0,20260918,3,susan_warner,gutenberg_texts/8874.txt,4000,3,42,117.85945921395819,0.0034824324017447734
64.0,20260918,4,mary_shelley,gutenberg_texts/18247.txt,1000,20,43,108.55519487974877,0.009277597439874384
64.0,20260918,0,kathleen_thompson_norris,gutenberg_texts/4787.txt,2000,8,43,361.64439501669557,0.0679110987541739
64.0,20260918,4,mary_shelley,gutenberg_texts/15238.txt,4000,1,43,110.20409139358878,0.002525511424198598
64.0,20260918,3,john_c_hutcheson,gutenberg_texts/21108.txt,1000,20,44,327.8137423863721,0.11890687119318605
64.0,20260918,1,robert_sidney_bowen,gutenberg_texts/32542.txt,2000,4,44,536.8258557417639,0.11170646393544098
64.0,20260918,3,oscar_wilde,gutenberg_texts/174.txt,4000,3,44,1244.6956784496695,0.14433695980620867
64.0,20260918,3,susan_warner,gutenberg_texts/8874.txt,1000,36,45,299.99517884142136,0.10499758942071068
64.0,20260918,2,louis_joseph_vance,gutenberg_texts/9378.txt,2000,6,45,51.78607455944259,-0.009553481360139353
64.0,20260918,0,mildred_wirt,gutenberg_texts/34832.txt,4000,2,45,1059.0755514585362,0.12113444393231702
64.0,20260918,1,robert_sidney_bowen,gutenberg_texts/32331.txt,1000,9,46,163.4191971042336,0.0367095985521168
64.0,20260918,4,ethel_m_dell,gutenberg_texts/13547.txt,2000,3,46,114.96740863203239,0.006241852158008097
64.0,20260918,2,jane_austen,gutenberg_texts/1342.txt,4000,5,46,76.50495196224105,-0.0016868810047198685
64.0,20260918,1,robert_sidney_bowen,gutenberg_texts/32542.txt,1000,3,47,270.1521115764082,0.09007605578820409
64.0,20260918,1,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,2000,3,47,650.484689464433,0.14012117236610824
64.0,20260918,1,luis_senarens,gutenberg_texts/54629.txt,4000,1,47,154.79417853694716,0.008099272317118395
64.0,20260918,3,susan_warner,gutenberg_texts/8874.txt,1000,33,48,356.3210391612072,0.1331605195806036
64.0,20260918,4,charlotte_bronte,gutenberg_texts/30486.txt,2000,18,48,86.69276470270927,-0.0008268088243226828
64.0,20260918,3,john_c_hutcheson,gutenberg_texts/21107.txt,4000,1,48,98.17630855617308,0.0010220385695216354
64.0,20260918,0,mildred_wirt,gutenberg_texts/35082.txt,1000,8,49,142.15524311705886,0.02607762155852943
64.0,20260918,3,susan_warner,gutenberg_texts/16918.txt,2000,9,49,91.21034307474672,0.0003025857686866793
64.0,20260918,3,john_c_hutcheson,gutenberg_texts/21108.txt,4000,1,49,1280.141406461645,0.1487676758077056
64.0,20260918,3,susan_warner,gutenberg_texts/8874.txt,1000,37,50,192.24282009962403,0.051121410049812015
64.0,20260918,0,joseph_conrad,gutenberg_texts/2021.txt,2000,6,50,1039.3782808151577,0.23734457020378943
64.0,20260918,2,mark_twain,gutenberg_texts/76.txt,4000,3,50,95.0343836074821,0.0006292979509352623
64.0,20260918,0,joseph_conrad,gutenberg_texts/2021.txt,1000,17,51,58.73702389863265,-0.015631488050683675
64.0,20260918,3,susan_warner,gutenberg_texts/8874.txt,2000,15,51,78.56946989646674,-0.0028576325258833145
64.0,20260918,3,john_c_hutcheson,gutenberg_texts/21108.txt,4000,4,51,128.89073892290838,0.004861342365363548
64.0,20260918,2,jane_austen,full_books/jane_austen_full.txt,1000,24,52,92.34372297499054,0.0011718614874952707
64.0,20260918,4,mary_shelley,gutenberg_texts/18247.txt,2000,8,52,47.759187008485455,-0.010560203247878637
64.0,20260918,4,charlotte_bronte,gutenberg_texts/1260.txt,4000,9,52,117.11138877316665,0.0033889235966458315
64.0,20260918,4,charlotte_bronte,gutenberg_texts/1260.txt,1000,6,53,28.728146747578183,-0.03063592662621091
64.0,20260918,2,jane_austen,gutenberg_texts/161.txt,2000,4,53,115.7809404501696,0.006445235112542399
64.0,20260918,0,mildred_wirt,gutenberg_texts/34592.txt,4000,1,53,735.1238220992667,0.08064047776240833
64.0,20260918,0,joseph_conrad,gutenberg_texts/2021.txt,1000,5,54,368.37080876041387,0.13918540438020693
64.0,20260918,3,susan_warner,gutenberg_texts/29824.txt,2000,8,54,703.6518456842462,0.15341296142106153
64.0,20260918,1,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,4000,1,54,202.97435473841162,0.014121794342301453
64.0,20260918,0,joseph_conrad,gutenberg_texts/5658.txt,1000,13,55,254.82161060797768,0.08241080530398884
64.0,20260918,2,mark_twain,gutenberg_texts/86.txt,2000,6,55,74.15863314369388,-0.003960341714076531
64.0,20260918,3,john_c_hutcheson,gutenberg_texts/24267.txt,4000,1,55,486.8344113114482,0.049604301413931025
64.0,20260918,3,susan_warner,gutenberg_texts/8874.txt,1000,37,56,98.44223018278964,0.0042211150913948215
64.0,20260918,1,agnes_may_fleming,gutenberg_texts/7063.txt,2000,12,56,337.09489596580147,0.06177372399145037
64.0,20260918,4,charlotte_bronte,gutenberg_texts/1260.txt,4000,8,56,272.34914366859596,0.022793642958574493
64.0,20260918,2,mark_twain,gutenberg_texts/76.txt,1000,5,57,309.90670673944277,0.10995335336972138
64.0,20260918,1,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,2000,4,57,181.28891825250503,0.022822229563126257
64.0,20260918,4,ethel_m_dell,gutenberg_texts/13547.txt,4000,3,57,1462.1042360790893,0.17151302950988617
64.0,20260918,0,kathleen_thompson_norris,gutenberg_texts/3635.txt,1000,5,58,58.25015206588417,-0.015874923967057912
64.0,20260918,1,robert_sidney_bowen,gutenberg_texts/32542.txt,2000,3,58,114.32534452997326,0.006081336132493316
64.0,20260918,4,charlotte_bronte,gutenberg_texts/30486.txt,4000,4,58,141.0233387465534,0.0063779173433191755
64.0,20260918,0,joseph_conrad,gutenberg_texts/5658.txt,1000,1,59,458.5699679850711,0.18428498399253557
64.0,20260918,4,ethel_m_dell,gutenberg_texts/13547.txt,2000,12,59,961.0327912085204,0.2177581978021301
64.0,20260918,3,charles_dickens,gutenberg_texts/46.txt,4000,1,59,110.3559115232449,0.0025444889404056125
64.0,20260918,1,agnes_may_fleming,gutenberg_texts/7063.txt,1000,31,60,183.5446536328097,0.046772326816404856
