seed,target_rho,crossing_multiplier,crossing_run_length,mean_dwell_marks,n_seeds_crossing,crossing_multiplier_seed_min,crossing_multiplier_seed_max
20260918,0.0006292088575407687,38.43227900354375,291.40531432857887,7.582306381094628,,,
20260919,0.0006292088575407687,31.911710439438647,241.9643656965997,7.582306381094628,,,
20260920,0.0006292088575407687,39.41158436361342,298.8307076092753,7.582306381094628,,,
mean,0.0006292088575407687,38.80014792090532,294.19460916809584,7.582306381094628,3,31.911710439438647,39.41158436361342
