chunk_size,condition,policy,feature,n_human,n_llm,human_median_G,llm_median_G,auc,threshold_at_5pct_fpr,tpr_at_5pct_fpr,mannwhitney_p_llm_greater,skipped
1000,flash,pooled_all_books,f1,410,200,45.16053396710738,209.253402636409,0.9379634146341463,161.28024935564792,0.655,1.8962381793367974e-69,0
1000,flash,pooled_all_books,f3,410,200,101.51820653604105,293.27600145291274,0.9470487804878048,221.71489046175114,0.7,2.86529979793419e-72,0
1000,flash,leave_one_book_out,f1,410,200,90.33247834990726,231.1455219912902,0.7734512195121951,508.34311817194833,0.12,2.56106729582949e-28,0
1000,flash,leave_one_book_out,f3,410,200,172.70360779441427,323.9123676484659,0.7377682926829269,618.0438007214461,0.075,7.034446524474003e-22,0
1000,pro,pooled_all_books,f1,410,100,45.16053396710738,182.54435901978732,0.8896585365853659,161.28024935564792,0.59,5.931276946954003e-34,0
1000,pro,pooled_all_books,f3,410,100,101.51820653604105,263.02986542982165,0.9006829268292683,221.71489046175114,0.6,8.701242259430543e-36,0
1000,pro,leave_one_book_out,f1,410,100,90.33247834990726,230.5433823553688,0.7305121951219512,508.34311817194833,0.1,4.26816902697824e-13,0
1000,pro,leave_one_book_out,f3,410,100,172.70360779441427,305.65883448356794,0.7045121951219512,618.0438007214461,0.06,1.1085667348747923e-10,0
2000,flash,pooled_all_books,f1,198,200,59.971067979548614,433.3814127468054,0.9721464646464646,234.14203576384335,0.88,5.479736071017419e-60,0
2000,flash,pooled_all_books,f3,198,200,126.87867946403101,582.5076693326341,0.9816414141414141,308.2409257482609,0.955,2.444296611205827e-62,0
2000,flash,leave_one_book_out,f1,198,200,154.44351530417066,491.5709236785385,0.8096464646464646,987.4837980139665,0.105,5.941888596401307e-27,0
2000,flash,leave_one_book_out,f3,198,200,255.39414043929398,643.645997799563,0.7796969696969697,1108.4061373135164,0.095,2.408948351524041e-22,0
2000,pro,pooled_all_books,f1,198,100,59.971067979548614,487.7049111212136,0.9568181818181818,234.14203576384335,0.81,3.0413523624793346e-38,0
2000,pro,pooled_all_books,f3,198,100,126.87867946403101,625.2867517952321,0.9640909090909091,308.2409257482609,0.87,2.0924406924277818e-39,0
2000,pro,leave_one_book_out,f1,198,100,154.44351530417066,530.3329298572653,0.813939393939394,987.4837980139665,0.11,4.411876501741313e-19,0
2000,pro,leave_one_book_out,f3,198,100,255.39414043929398,677.8772160052534,0.7917171717171717,1108.4061373135164,0.14,9.952413887983157e-17,0
4000,flash,pooled_all_books,f1,92,200,90.64857007718987,959.3989984114742,0.98625,344.39637271883237,0.97,6.121683869153818e-41,0
4000,flash,pooled_all_books,f3,92,200,180.9913578216112,1197.5022689769437,0.9925,425.16286147842425,1.0,6.031583973116115e-42,0
4000,flash,leave_one_book_out,f1,92,200,273.07752792603213,1003.8403144834392,0.8194021739130435,1731.2527092480966,0.165,9.148815540325316e-19,0
4000,flash,leave_one_book_out,f3,92,200,474.29930087457063,1244.1923246047568,0.8009239130434782,1937.6108075504646,0.155,7.279958886031417e-17,0
4000,pro,pooled_all_books,f1,92,100,90.64857007718987,1222.1443665115894,0.9852173913043478,344.39637271883237,0.93,1.9749830012285063e-31,0
4000,pro,pooled_all_books,f3,92,100,180.9913578216112,1462.5209775790445,0.9902173913043478,425.16286147842425,0.97,4.846566241248733e-32,0
4000,pro,leave_one_book_out,f1,92,100,273.07752792603213,1319.260062241382,0.8618478260869565,1731.2527092480966,0.29,2.508189597847399e-18,0
4000,pro,leave_one_book_out,f3,92,100,474.29930087457063,1678.6131420356614,0.8556521739130435,1937.6108075504646,0.35,9.094103471281002e-18,0
