mark,human_pct,human_n_marks,flash_pct,flash_n_marks,flash_human_over_model,pro_pct,pro_n_marks,pro_human_over_model
!,2.7669990417730044,421612,0.2914485575455975,1065025,9.493953461547338,0.43664419057813425,530638,6.336965202970839
"""",18.334155574319517,421612,10.01826248210136,1065025,1.8300733891805432,12.264104719224783,530638,1.4949444736540398
(,0.26588427274366006,421612,0.00985892349944837,1065025,26.968895007506337,0.009422619563619642,530638,28.21765974403006
),0.2568712465489597,421612,0.009765028989929814,1065025,26.305221091904407,0.00923416717234725,530638,27.81747847474426
",",42.86737569139398,421612,56.52937724466562,1065025,0.7583203244192673,38.55717080194031,530638,1.1117873744314448
.,25.591776325152036,421612,30.27684796131546,1065025,0.8452589370548245,46.53454897689197,530638,0.5499521729083556
:,1.2146238721858011,421612,0.3246872139151663,1065025,3.7409045386775097,0.17582608105714254,530638,6.908098416815961
;,5.579774769219092,421612,0.7862726227083872,1065025,7.0964886835294525,0.36597454385098693,530638,15.246346673475184
?,3.1147121049685493,421612,1.7531982817304759,1065025,1.7765886137500693,1.6468854473294412,530638,1.8912742899145223
^,0.007827101695397664,421612,0.00028168352855566773,1065025,27.786863277136323,0.00018845239127239285,530638,41.53357589442426
