unit,feature,n_within_pairs,n_between_pairs,within_mean,within_median,between_mean,between_median,separation_ratio,mannwhitney_p
full_document,f1,28,434,0.05653054620788244,0.026814961913605405,0.12205754490084311,0.09128589609405063,2.1591432082045547,1.7877132045424556e-07
full_document,f3,28,434,0.1292877164091146,0.06751370848461125,0.2707096271025802,0.2134704916286086,2.093854192968757,3.444498841940179e-08
middle_2000,f1,28,434,0.1012044697872281,0.050639734003789745,0.15783417431538724,0.12557717535907156,1.559557346105535,9.887747239616276e-05
middle_2000,f3,28,434,0.1962587236879824,0.12162921535867063,0.3214628552544136,0.25948214927965235,1.637954477710169,1.3379802400585212e-05
