corpus_variant,feature,author,n_documents,n_marks,consistency_C,nearest_other_D,nearest_other,ratio_D_over_C,margin_D_minus_C,between_author_baseline,C_over_baseline
all_documents,f1,"Abbott, Eleanor Hallowell",10,79604,0.07097040394563188,0.03146421015362436,"Standish, Burt L.",0.4433426950440929,-0.03950619379200752,0.16891442246323624,0.4201559754974647
all_documents,f1,"Abbott, Jacob",51,414731,0.17982849930165115,0.007477114533134175,"Grinnell, George Bird",0.041579141026983596,-0.17235138476851697,0.16891442246323624,1.0646130548194623
all_documents,f1,"Abbott, John S. C. (John Stevens Cabot)",23,272735,0.025095420702380418,0.011806681514618405,"Nye, Bill",0.47047155154878456,-0.013288739187762013,0.16891442246323624,0.1485688453148065
all_documents,f1,"Adams, Andy",10,102879,0.14855627953588363,0.007882412048195241,"Eggleston, George Cary",0.0530601067341031,-0.1406738674876884,0.16891442246323624,0.8794765856551799
all_documents,f1,"Adams, Samuel Hopkins",13,223823,0.08211932671634102,0.010073595028751176,"Smith, George O. (George Oliver)",0.1226702097004239,-0.07204573168758985,0.16891442246323624,0.4861593552451927
all_documents,f1,Aesop,22,44566,0.6671540433991615,0.01573543710024702,Dante Alighieri,0.023585912812691193,-0.6514186062989145,0.16891442246323624,3.949657072914338
all_documents,f1,"Aimard, Gustave",29,560205,0.02360511045921664,0.003974539464696449,"Lever, Charles James",0.16837622817158163,-0.01963057099452019,0.16891442246323624,0.13974597381910492
all_documents,f1,"Ainsworth, William Harrison",20,560529,0.02615020182148788,0.0010717368480766658,"Murfree, Mary Noailles",0.0409838843842501,-0.025078464973411214,0.16891442246323624,0.15481331576159163
all_documents,f1,"Alcott, Louisa May",37,420281,0.03405419155928777,0.0019772433491851205,"Le Fanu, Joseph Sheridan",0.05806167342844634,-0.03207694821010265,0.16891442246323624,0.20160618058946136
all_documents,f1,"Aldrich, Thomas Bailey",19,57740,0.10162523652447027,0.004152283074173903,"Williamson, A. M. (Alice Muriel)",0.04085877894290635,-0.09747295345029636,0.16891442246323624,0.6016374152218336
all_documents,f1,"Alger, Horatio, Jr.",95,1280977,0.04764932694694716,0.00723701397948614,"Blanchard, Amy Ella",0.1518807178020341,-0.04041231296746102,0.16891442246323624,0.28209152452519504
all_documents,f1,"Allen, Grant",29,357781,0.14041324868829036,0.005466867489616508,"Twain, Mark",0.03893412865727971,-0.13494638119867386,0.16891442246323624,0.8312685597871368
